fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fitstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
P589Fg007_1_P590Fg032_1,P589Fg007_P590Fg032,8,4,4,4,1,P589-Fg007-V-C01-R01-D12022013-T122152-ML638,1108,3257,1630,False,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,False,"[[True, 0, 5], [True, 0, 4], [True, 1, 5], [True, 1, 4]]","[[1000, 0, 1750, 1000], [1000, 0, 1750, 1250], [1000, 250, 1750, 1000], [1000, 250, 1750, 1250]]","[[4708, 2031, 4458, 2298], [4708, 2031, 4458, 2548], [4708, 2281, 4458, 2298], [4708, 2281, 4458, 2548]]"
P589Fg007_1_P593Fg016_0,P589Fg007_P593Fg016,2,2,1,2,1,P589-Fg007-V-C01-R01-D12022013-T122152-ML638,1108,3257,1630,False,P593-Fg016-V-C01-R01-D31122013-T093806-ML638,1044,2842,1766,False,"[[False, 0, 2], [False, 1, 3]]","[[1000, 0, 0, 500], [1000, 250, 0, 750]]","[[4708, 2031, 3218, 2398], [4708, 2281, 3218, 2648]]"
P589Fg011_1_P597Fg053_1,P589Fg011_P597Fg053,6,6,6,7,2,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 1]]","[[750, 0, 750, 250], [750, 250, 750, 0], [750, 250, 750, 250], [750, 500, 750, 0], [750, 500, 750, 250], [750, 750, 750, 250]]","[[3955, 2182, 3925, 2501], [3955, 2432, 3925, 2251], [3955, 2432, 3925, 2501], [3955, 2682, 3925, 2251], [3955, 2682, 3925, 2501], [3955, 2932, 3925, 2501]]"
P589Fg011_1_P590Fg032_1,P589Fg011_P590Fg032,15,8,8,10,3,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,False,"[[True, 0, 5], [True, 0, 4], [True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4]]","[[750, 0, 1750, 1000], [750, 0, 1750, 1250], [750, 250, 1750, 1000], [750, 250, 1750, 1250], [750, 500, 1750, 1000], [750, 500, 1750, 1250], [750, 750, 1750, 1000], [750, 750, 1750, 1250]]","[[3955, 2182, 4458, 2298], [3955, 2182, 4458, 2548], [3955, 2432, 4458, 2298], [3955, 2432, 4458, 2548], [3955, 2682, 4458, 2298], [3955, 2682, 4458, 2548], [3955, 2932, 4458, 2298], [3955, 2932, 4458, 2548]]"
P589Fg003_1_P598Fg017_0,P589Fg003_P598Fg017,3,3,2,2,1,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,False,P598-Fg017-V-C01-R01-D07012014-T135638-ML638,1025,3219,1688,False,"[[False, 1, 0], [False, 2, 1], [False, 4, 1]]","[[2750, 250, 0, 0], [2750, 500, 0, 250], [2750, 1000, 0, 250]]","[[5886, 1511, 3463, 1835], [5886, 1761, 3463, 2085], [5886, 2261, 3463, 2085]]"
P589Fg001_1_P596Fg001_1,P589Fg001_P596Fg001,8,8,8,6,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 3, 0]]","[[1000, 250, 500, 0], [1000, 250, 500, 250], [1000, 500, 500, 0], [1000, 500, 500, 250], [1000, 750, 500, 0], [1000, 750, 500, 250], [1000, 250, 500, 0], [1000, 250, 500, 250]]","[[4230, 2202, 3955, 1878], [4230, 2202, 3955, 2128], [4230, 2452, 3955, 1878], [4230, 2452, 3955, 2128], [4230, 2702, 3955, 1878], [4230, 2702, 3955, 2128], [4230, 2202, 3955, 1878], [4230, 2202, 3955, 2128]]"
P589Fg001_1_P597Fg060_1,P589Fg001_P597Fg060,21,7,7,3,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P597-Fg060-V-C01-R01-D01122014-T141941-ML638,1251,3052,2005,False,"[[True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 2, 0], [True, 3, 0], [True, 3, 0]]","[[1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 500, 250, 250], [1000, 750, 250, 0], [1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 750, 250, 0]]","[[4230, 2202, 3519, 2373], [4230, 2452, 3519, 2373], [4230, 2452, 3519, 2623], [4230, 2702, 3519, 2373], [4230, 2202, 3519, 2373], [4230, 2452, 3519, 2373], [4230, 2702, 3519, 2373]]"
P589Fg005_1_P597Fg053_1,P589Fg005_P597Fg053,4,4,4,4,1,P589-Fg005-V-C01-R01-D12022013-T115957-ML638,1377,3104,1706,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 2, 1]]","[[750, 0, 750, 0], [750, 0, 750, 250], [750, 250, 750, 250], [750, 500, 750, 250]]","[[4057, 2107, 3925, 2251], [4057, 2107, 3925, 2501], [4057, 2357, 3925, 2501], [4057, 2607, 3925, 2501]]"
P589Fg005_1_P598Fg035_1,P589Fg005_P598Fg035,5,5,5,5,1,P589-Fg005-V-C01-R01-D12022013-T115957-ML638,1377,3104,1706,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 1]]","[[750, 0, 1250, 250], [750, 0, 1250, 500], [750, 250, 1250, 250], [750, 250, 1250, 500], [750, 500, 1250, 250]]","[[4057, 2107, 4584, 1917], [4057, 2107, 4584, 2167], [4057, 2357, 4584, 1917], [4057, 2357, 4584, 2167], [4057, 2607, 4584, 1917]]"
P589Fg001_1_P597Fg046_1,P589Fg001_P597Fg046,10,10,10,3,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 3, 1], [True, 3, 0]]","[[1000, 250, 500, 0], [1000, 250, 500, 250], [1000, 500, 500, 0], [1000, 500, 500, 250], [1000, 750, 500, 0], [1000, 750, 500, 250], [1000, 250, 500, 0], [1000, 250, 500, 250], [1000, 500, 500, 250], [1000, 750, 500, 250]]","[[4230, 2202, 3922, 1981], [4230, 2202, 3922, 2231], [4230, 2452, 3922, 1981], [4230, 2452, 3922, 2231], [4230, 2702, 3922, 1981], [4230, 2702, 3922, 2231], [4230, 2202, 3922, 1981], [4230, 2202, 3922, 2231], [4230, 2452, 3922, 2231], [4230, 2702, 3922, 2231]]"
P589Fg005_1_P598Fg004_0,P589Fg005_P598Fg004,4,4,4,2,1,P589-Fg005-V-C01-R01-D12022013-T115957-ML638,1377,3104,1706,False,P598-Fg004-V-C01-R01-D07012014-T112202-ML638,1391,3063,1326,False,"[[False, 0, 1], [False, 0, 2], [False, 1, 1], [False, 2, 2]]","[[750, 0, 0, 250], [750, 0, 0, 500], [750, 250, 0, 250], [750, 500, 0, 500]]","[[4057, 2107, 3061, 1849], [4057, 2107, 3061, 2099], [4057, 2357, 3061, 1849], [4057, 2607, 3061, 2099]]"
P589Fg006_1_P597Fg046_1,P589Fg006_P597Fg046,10,10,10,11,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 4, 1], [True, 4, 0], [True, 5, 1], [True, 6, 1], [True, 7, 1]]","[[3750, 0, 500, 250], [3750, 250, 500, 250], [3750, 500, 500, 0], [3750, 500, 500, 250], [3750, 750, 500, 250], [3750, 1000, 500, 0], [3750, 1000, 500, 250], [3750, 1250, 500, 250], [3750, 1500, 500, 250], [3750, 1750, 500, 250]]","[[5057, 1763, 3922, 2231], [5057, 2013, 3922, 2231], [5057, 2263, 3922, 1981], [5057, 2263, 3922, 2231], [5057, 2513, 3922, 2231], [5057, 2763, 3922, 1981], [5057, 2763, 3922, 2231], [5057, 3013, 3922, 2231], [5057, 3263, 3922, 2231], [5057, 3513, 3922, 2231]]"
P589Fg001_1_P598Fg007_1,P589Fg001_P598Fg007,31,4,4,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P598-Fg007-V-C01-R01-D07012014-T115107-ML638,2177,2402,1663,False,"[[True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 4]]","[[1000, 250, 250, 1000], [1000, 500, 250, 1000], [1000, 500, 250, 1250], [1000, 750, 250, 1000]]","[[4230, 2202, 3131, 2928], [4230, 2452, 3131, 2928], [4230, 2452, 3131, 3178], [4230, 2702, 3131, 2928]]"
P589Fg011_1_P598Fg017_0,P589Fg011_P598Fg017,2,2,2,2,1,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P598-Fg017-V-C01-R01-D07012014-T135638-ML638,1025,3219,1688,False,"[[False, 0, 0], [False, 1, 1]]","[[750, 0, 0, 0], [750, 250, 0, 250]]","[[3955, 2182, 3463, 1835], [3955, 2432, 3463, 2085]]"
P589Fg002_1_P596Fg001_1,P589Fg002_P596Fg001,9,9,8,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 0, 1], [True, 0, 1], [True, 0, 0], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 3, 1], [True, 3, 0]]","[[2500, 0, 500, 0], [2500, 0, 500, 250], [2500, 250, 500, 0], [2500, 250, 500, 250], [2500, 0, 500, 0], [2500, 0, 500, 250], [2500, 250, 500, 0], [2500, 750, 500, 0], [2500, 750, 500, 250]]","[[5225, 1338, 3955, 1878], [5225, 1338, 3955, 2128], [5225, 1588, 3955, 1878], [5225, 1588, 3955, 2128], [5225, 1338, 3955, 1878], [5225, 1338, 3955, 2128], [5225, 1588, 3955, 1878], [5225, 2088, 3955, 1878], [5225, 2088, 3955, 2128]]"
P596Fg055_1_P597Fg046_1,P596Fg055_P597Fg046,3,3,3,3,1,P596-Fg055-V-C01-R01-D22012014-T100617-ML638,1266,3306,2246,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1]]","[[250, 250, 500, 0], [250, 250, 500, 250], [250, 500, 500, 250]]","[[3885, 2667, 3922, 1981], [3885, 2667, 3922, 2231], [3885, 2917, 3922, 2231]]"
P589Fg003_1_P590Fg032_1,P589Fg003_P590Fg032,16,8,8,10,3,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,False,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,False,"[[True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4]]","[[2750, 250, 1750, 1000], [2750, 250, 1750, 1250], [2750, 500, 1750, 1000], [2750, 500, 1750, 1250], [2750, 750, 1750, 1000], [2750, 750, 1750, 1250], [2750, 1000, 1750, 1000], [2750, 1000, 1750, 1250]]","[[5886, 1511, 4458, 2298], [5886, 1511, 4458, 2548], [5886, 1761, 4458, 2298], [5886, 1761, 4458, 2548], [5886, 2011, 4458, 2298], [5886, 2011, 4458, 2548], [5886, 2261, 4458, 2298], [5886, 2261, 4458, 2548]]"
P589Fg011_1_P596Fg001_1,P589Fg011_P596Fg001,6,6,6,7,2,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0]]","[[750, 0, 500, 0], [750, 0, 500, 250], [750, 250, 500, 0], [750, 250, 500, 250], [750, 500, 500, 0], [750, 500, 500, 250]]","[[3955, 2182, 3955, 1878], [3955, 2182, 3955, 2128], [3955, 2432, 3955, 1878], [3955, 2432, 3955, 2128], [3955, 2682, 3955, 1878], [3955, 2682, 3955, 2128]]"
P589Fg010_1_P598Fg035_1,P589Fg010_P598Fg035,5,5,5,5,1,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 1, 2], [True, 1, 1], [True, 2, 1], [True, 3, 2], [True, 3, 1]]","[[750, 250, 1250, 250], [750, 250, 1250, 500], [750, 500, 1250, 250], [750, 750, 1250, 250], [750, 750, 1250, 500]]","[[4115, 2359, 4584, 1917], [4115, 2359, 4584, 2167], [4115, 2609, 4584, 1917], [4115, 2859, 4584, 1917], [4115, 2859, 4584, 2167]]"
P596Fg067_1_P598Fg035_1,P596Fg067_P598Fg035,4,4,4,4,1,P596-Fg067-V-C01-R01-D22012014-T120037-ML638,1071,3460,1851,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[4160, 1832, 4584, 1917], [4160, 1832, 4584, 2167], [4160, 2082, 4584, 1917], [4160, 2082, 4584, 2167]]"
P589Fg011_1_P597Fg046_1,P589Fg011_P597Fg046,6,6,6,3,1,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1]]","[[750, 500, 500, 250], [750, 0, 500, 250], [750, 250, 500, 250], [750, 500, 500, 0], [750, 500, 500, 250], [750, 750, 500, 250]]","[[3955, 2682, 3922, 2231], [3955, 2182, 3922, 2231], [3955, 2432, 3922, 2231], [3955, 2682, 3922, 1981], [3955, 2682, 3922, 2231], [3955, 2932, 3922, 2231]]"
P596Fg021_1_P598Fg035_1,P596Fg021_P598Fg035,4,4,4,4,1,P596-Fg021-V-C01-R01-D19012014-T153758-ML638,1224,3148,1747,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3908, 1891, 4584, 1917], [3908, 1891, 4584, 2167], [3908, 2141, 4584, 1917], [3908, 2141, 4584, 2167]]"
P589Fg006_1_P596Fg001_1,P589Fg006_P596Fg001,10,10,9,10,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 4, 1], [True, 4, 0], [True, 5, 0], [True, 6, 1], [True, 7, 1], [True, 7, 0]]","[[3750, 250, 500, 0], [3750, 250, 500, 250], [3750, 500, 500, 0], [3750, 500, 500, 250], [3750, 1000, 500, 0], [3750, 1000, 500, 250], [3750, 1250, 500, 0], [3750, 1500, 500, 250], [3750, 1750, 500, 0], [3750, 1750, 500, 250]]","[[5057, 2013, 3955, 1878], [5057, 2013, 3955, 2128], [5057, 2263, 3955, 1878], [5057, 2263, 3955, 2128], [5057, 2763, 3955, 1878], [5057, 2763, 3955, 2128], [5057, 3013, 3955, 1878], [5057, 3263, 3955, 2128], [5057, 3513, 3955, 1878], [5057, 3513, 3955, 2128]]"
P596Fg056_1_P597Fg053_1,P596Fg056_P597Fg053,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[4386, 2401, 3925, 2251], [4386, 2401, 3925, 2501], [4386, 2651, 3925, 2501]]"
P589Fg003_1_P598Fg035_1,P589Fg003_P598Fg035,8,8,8,10,3,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 2], [True, 3, 1], [True, 4, 2], [True, 4, 1]]","[[2750, 250, 1250, 250], [2750, 250, 1250, 500], [2750, 500, 1250, 250], [2750, 500, 1250, 500], [2750, 750, 1250, 250], [2750, 750, 1250, 500], [2750, 1000, 1250, 250], [2750, 1000, 1250, 500]]","[[5886, 1511, 4584, 1917], [5886, 1511, 4584, 2167], [5886, 1761, 4584, 1917], [5886, 1761, 4584, 2167], [5886, 2011, 4584, 1917], [5886, 2011, 4584, 2167], [5886, 2261, 4584, 1917], [5886, 2261, 4584, 2167]]"
P589Fg002_1_P598Fg007_1,P589Fg002_P598Fg007,28,3,3,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P598-Fg007-V-C01-R01-D07012014-T115107-ML638,2177,2402,1663,False,"[[True, 0, 4], [True, 1, 5], [True, 1, 4]]","[[2500, 0, 250, 1000], [2500, 250, 250, 1000], [2500, 250, 250, 1250]]","[[5225, 1338, 3131, 2928], [5225, 1588, 3131, 2928], [5225, 1588, 3131, 3178]]"
